.Name,.Symbol,AverageDailyVolume,BookValue,DaysRange,DaysVolume,DividendYield,EBITDA,EPS,EPSYearGrowthEstimate,MarketCapitalization,OneyrTargetChange,PEGRatio,PERatio,PercentChangeAfterHours,PercentChangeFromTwoHundreddayMovingAverage,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,Sector-Consumer Discretionary,Sector-Consumer Staples,Sector-Energy,Sector-Financials,Sector-Health Care,Sector-Industrials,Sector-Information Technology,Sector-Materials,Sector-Real Estate,Sector-Telecommunication Services,Sector-Utilities,ShortRatio,TwoHundreddayMovingAverage
"HCP, Inc. Common Stock",HCP,4258080,11.85,0.01952277657266797,4965662,4.64,1280000000,1.34,0.09411764705882364,15350000000,-0.012705299039355578,15.01,24.49,0.0,0.06849999999999999,2.72,38.58,35.26,7.10,0,0,0,0,0,0,0,0,1,0,0,3.95,30.69
"Home Depot, Inc. (The) Common S",HD,3927270,3.60,0.009571651619034666,2969308,2.44,15400000000,6.45,0.12656467315716258,177740000000,0.060891996470029186,1.75,22.91,-0.001697101350892627,0.0855,40.90,20.55,18.24,1.87,1,0,0,0,0,0,0,0,0,0,0,2.44,136.12
Hartford Financial Services Gro,HIG,2827950,45.20,0.014474772539288727,1825899,1.93,1480000000,2.27,0.09200968523002429,17650000000,0.08912324234904889,1.23,21.01,-0.005583126550868456,0.0106,1.07,11.55,10.57,0.98,0,0,0,1,0,0,0,0,0,0,0,1.50,47.19
"Harley-Davidson, Inc. Common St",HOG,2161840,11.00,0.0358585858585859,8263631,2.45,1280000000,3.83,0.10129870129870122,9940000000,0.011447811447811373,1.67,14.86,-0.04309764309764297,-0.0203,5.40,14.78,13.42,1.73,1,0,0,0,0,0,0,0,0,0,0,6.47,58.09
"Hologic, Inc.",HOLX,2249670,8.02,0.012429643527204529,2738661,0,1040000000,1.17,0.1313131313131315,11790000000,0.1031894934333959,2.34,36.09,-0.0032833020637899057,0.059000000000000004,5.31,21.33,18.85,4.15,0,0,0,0,1,0,0,0,0,0,0,2.09,39.88
Honeywell International Inc. Co,HON,2752150,25.46,0.008101758081503686,1666135,2.17,7710000000,6.20,0.08806818181818188,93690000000,0.08822814550757507,2.49,19.85,-0.0018634043587458793,0.044199999999999996,4.85,17.48,16.07,2.39,0,0,0,0,0,1,0,0,0,0,0,2.54,117.87
Hewlett Packard Enterprise Comp,HPE,12044900,18.94,0.012147984538928706,8009906,1.45,7800000000,1.84,-0.07482993197278909,30050000000,0.1308669243511873,-0.99,9.83,-0.001656543346217676,-0.2006,0.96,12.33,13.33,0.62,0,0,0,0,0,0,1,0,0,0,0,2.19,22.68
Hormel Foods Corporation Common,HRL,2377960,8.65,0.013058618688334384,1662754,2.00,1410000000,1.65,0.04790419161676662,18380000000,0.14799767846778877,2.06,21.06,0.00029019152640730184,-0.028900000000000002,3.99,20.81,19.86,1.92,0,1,0,0,0,0,0,0,0,0,0,9.89,35.78
Harris Corporation Common Stock,HRS,796421,25.40,0.009164322656746259,906108,1.93,1580000000,5.28,0.1099099099099099,13640000000,0.07975682787405858,0.47,20.74,-0.004446057526540148,0.0604,4.34,19.74,17.79,1.86,0,0,0,0,0,0,1,0,0,0,0,3.79,103.32
"Henry Schein, Inc.",HSIC,459669,35.18,0.010007698229407223,311628,0,987240000,6.19,0.10482758620689658,13280000000,0.05951323503286532,2.34,27.09,-0.0025463374193166466,0.0451,4.80,23.13,20.94,1.16,0,0,0,0,1,0,0,0,0,0,0,5.04,160.46
"Host Hotels & Resorts, Inc. Com",HST,8071200,9.48,0.012452625879805113,6881920,4.29,1420000000,1.02,0.02985074626865658,13760000000,0.032485110990795985,0.97,18.25,-0.0016242555495397104,0.0556,1.95,27.78,26.97,2.50,0,0,0,0,0,0,0,0,1,0,0,8.01,17.63
The Hershey Company Common Stoc,HSY,1038150,3.70,0.012603495860165634,857363,2.26,1620000000,3.34,0.08786610878661083,23250000000,0.03091076356945721,2.63,32.78,9.199632014711412e-05,0.0584,29.36,22.90,21.05,3.10,0,1,0,0,0,0,0,0,0,0,0,2.16,103.43
Humana Inc. Common Stock,HUM,1624720,71.57,0.012924754429665836,1047281,0.76,2060000000,4.07,0.09049360146252283,31610000000,0.05691591859754652,1.46,52.01,0.0018329651736617159,0.0613,2.97,19.35,17.66,0.58,0,0,0,0,1,0,0,0,0,0,0,3.90,199.47
International Business Machines,IBM,3835830,19.29,0.010870835768556313,6345465,3.30,18550000000,12.38,0.02467343976777947,160390000000,-0.0024547048509643288,4.80,13.73,-0.0018118059614260495,0.0143,8.87,12.34,12.04,2.02,0,0,0,0,0,0,1,0,0,0,0,6.18,167.66
Intercontinental Exchange Inc.,ICE,2875290,26.42,0.009650582362728874,1673530,1.35,2750000000,2.37,0.13621262458471772,6930000000,0.08735440931780358,1.57,25.43,-0.002828618968386043,0.054000000000000006,2.28,20.02,17.62,1.54,0,0,0,1,0,0,0,0,0,0,0,0.00,57.18
Internationa Flavors & Fragranc,IFF,660125,20.53,0.020147346263719793,331269,1.94,672980000,5.05,0.09621993127147754,10600000000,-0.00969778980604441,2.95,26.55,-0.004285069914298778,0.0729,6.48,23.04,21.01,3.37,0,0,0,0,0,0,0,1,0,0,0,4.21,124.96
"Illumina, Inc.",ILMN,931126,15.03,0.01427588579291371,676446,0,718780000,3.07,0.18681318681318682,25640000000,-0.06083018002522633,3.85,57.10,-0.0068799449604401985,0.1536,11.61,48.16,40.58,10.64,0,0,0,0,1,0,0,0,0,0,0,5.85,151.95
Incyte Corporation,INCY,2619960,2.22,0.03379075116998486,2593563,0,190850000,0.54,4.333333333333333,23850000000,0.24589513762195603,19.82,233.15,-0.007614817165066956,0.1042,56.76,699.44,131.15,21.60,0,0,0,0,1,0,0,0,0,0,0,2.12,114.02
Intel Corporation,INTC,24208200,14.001,0.014515219842164617,12312242,3.090,22870000000,2.120,0.04285714285714293,169100000000,0.1282412626832019,1.540,16.870,-0.0014092446448702445,-0.00649,2.534,12.773,12.206,2.825,0,0,0,0,0,0,1,0,0,0,0,3.730,35.999
Intuit Inc.,INTU,1708120,3.07,0.010198921105866553,1719169,1.15,1410000000,3.72,0.1428571428571428,30530000000,0.014497639919083039,2.12,32.05,-0.0017700606877949498,0.0286,38.70,27.50,24.06,6.25,0,0,0,0,0,0,1,0,0,0,0,1.52,116.04
International Paper Company Com,IP,3117760,10.56,0.022191400832177622,3130081,3.64,2870000000,2.18,0.17260273972602747,21160000000,0.09272835347731334,1.48,23.62,0.00792550029720629,0.0124,4.78,14.10,12.02,0.98,0,0,0,0,0,0,0,1,0,0,0,3.20,50.82
"Interpublic Group of Companies,",IPG,3988130,5.15,0.015151515151515112,7318215,2.93,1100000000,1.49,0.10884353741496589,9780000000,0.07376395534290281,1.33,16.71,-0.00917065390749594,0.053899999999999997,4.87,16.94,15.28,1.26,1,0,0,0,0,0,0,0,0,0,0,4.36,23.63
Ingersoll-Rand plc (Ireland),IR,1900760,25.65,0.011673151750972686,1906294,1.95,1920000000,5.65,0.1116071428571428,21260000000,0.04122081712062253,2.02,14.51,-0.006566147859922045,0.0745,3.21,18.29,16.45,1.58,0,0,0,0,0,1,0,0,0,0,0,2.14,76.25
Iron Mountain Incorporated (Del,IRM,1396380,7.34,0.025912510448592916,1382525,6.23,1110000000,0.42,0.13114754098360648,9640000000,0.14237949289495688,8.43,86.18,-0.0011145165784340882,0.0617,4.89,29.95,26.48,2.70,0,0,0,0,0,0,0,0,1,0,0,10.90,34.42
"Intuitive Surgical, Inc.",ISRG,342906,148.91,0.019029520487322336,588579,0,1050000000,18.73,0.13095238095238093,29450000000,-0.012638621335971156,2.95,40.54,-0.0003644504607694943,0.0966,5.16,32.28,28.55,11.02,0,0,0,0,1,0,0,0,0,0,0,8.92,692.46
"Gartner, Inc. Common Stock",IT,904621,0.74,0.008480692890653172,520858,0.00,400910000,2.31,0.28055555555555567,9130000000,0.03356189101407425,1.65,47.83,-0.0030674846625766694,0.098,150.39,30.69,23.97,3.75,0,0,0,0,0,0,1,0,0,0,0,5.20,100.62
Illinois Tool Works Inc. Common,ITW,1279720,12.26,0.018421252949684004,1610400,2.00,3530000000,5.70,0.11021069692058338,45880000000,0.02306462662708375,2.27,23.23,-0.006013549516632355,0.055099999999999996,10.71,21.42,19.33,3.35,0,0,0,0,0,1,0,0,0,0,0,6.05,125.47
Invesco Ltd Common Stock,IVZ,3183830,18.58,0.01529450048812232,3066763,3.73,1330000000,2.06,0.12809917355371914,12370000000,0.11812561015294487,1.21,14.87,-0.0055320533680442985,-0.0104,1.65,12.66,11.22,2.62,0,0,0,1,0,0,0,0,0,0,0,1.97,30.96
"J.B. Hunt Transport Services, I",JBHT,1023560,12.70,0.011783189316574988,1084494,1.03,1080000000,3.81,0.16169154228855742,9900000000,0.14656043092806637,1.81,23.34,-0.0038155089215576865,-0.040999999999999995,7.01,22.12,19.04,1.51,0,0,0,0,0,1,0,0,0,0,0,4.82,92.74
Jacobs Engineering Group Inc. C,JEC,907156,33.59,0.0194574368568757,684338,1.09,642120000,1.85,0.10223642172523961,6490000000,0.11693171188026197,2.15,28.99,-0.008231992516370523,-0.0461,1.59,17.30,15.55,0.61,0,0,0,0,0,1,0,0,0,0,0,2.94,56.23
Johnson & Johnson Common Stock,JNJ,7100470,26.02,0.019249125039770932,13485682,2.56,24960000000,5.93,0.051063829787234116,330540000000,0.031578110085905164,3.03,20.54,-0.020203627107858724,0.032,4.83,17.28,16.44,4.75,0,0,0,0,1,0,0,0,0,0,0,2.31,118.05
"Juniper Networks, Inc. Common S",JNPR,3751000,13.02,0.009743774810537696,6493556,1.45,1110000000,1.53,0.0730593607305936,10580000000,0.04727535185853471,1.14,18.10,-0.003247924936845892,0.0255,2.13,12.65,11.79,2.12,0,0,0,0,0,0,1,0,0,0,0,3.86,27.01
JP Morgan Chase & Co. Common St,JPM,15731500,64.68,0.010365711623573266,14102873,2.37,0.00,6.19,0.15501519756838888,302560000000,0.06673654786862349,1.92,13.11,-0.005823433496389474,0.034,1.33,12.86,11.21,3.31,0,0,0,1,0,0,0,0,0,0,0,2.36,82.36
"Nordstrom, Inc. Common Stock",JWN,3327020,5.12,0.01691973969631239,1530858,3.18,1650000000,2.02,0.041095890410958846,7690000000,0.01366594360086748,2.93,22.81,-0.0015184381778742262,-0.0643,9.01,15.78,15.16,0.52,1,0,0,0,0,0,0,0,0,0,0,7.24,49.25
Kellogg Company Common Stock,K,2115570,5.44,0.014935693541695454,1831730,2.86,2250000000,1.96,0.0966921119592874,25630000000,0.11934725487484443,2.71,37.23,0.0009680542110357404,-0.009899999999999999,13.29,18.57,16.93,1.95,0,1,0,0,0,0,0,0,0,0,0,2.43,73.71
KeyCorp Common Stock,KEY,11168700,12.58,0.020184544405997776,10552744,2.00,0.00,0.80,0.15909090909090895,18450000000,0.15570934256055358,1.25,21.47,-0.009803921568627305,0.0109,1.38,13.03,11.24,3.93,0,0,0,1,0,0,0,0,0,0,0,2.68,17.01
The Kraft Heinz Company,KHC,3216270,47.15,0.014195239135182324,2135091,2.62,8570000000,2.81,0.2623456790123455,112590000000,-0.0140860449879886,1.51,32.92,-0.00043677658877472325,0.0501,1.94,24.54,22.62,4.21,0,1,0,0,0,0,0,0,0,0,0,2.17,88.08
Kimco Realty Corporation Common,KIM,3772720,12.37,0.011968085106382961,3224777,4.83,766140000,0.79,0.1186440677966103,9670000000,0.1648936170212767,6.41,28.76,-0.0004432624113474004,-0.08929999999999999,1.82,38.51,34.42,8.19,0,0,0,0,0,0,0,0,1,0,0,3.28,24.95
KLA-Tencor Corporation,KLAC,1145230,6.16,0.016020942408376974,1416702,2.27,1250000000,5.50,0.05391304347826087,14830000000,-0.08062827225130897,1.39,17.20,-0.005863874345549802,0.136,15.51,16.45,15.61,4.59,0,0,0,0,0,0,1,0,0,0,0,2.69,83.27
"Kinder Morgan, Inc. Common Stoc",KMI,11396600,15.44,0.011230697239120188,16576429,2.34,6160000000,0.25,0.1304347826086958,47240000000,0.18530650444548424,3.10,86.02,-0.007019185774450265,-0.016200000000000003,1.38,30.67,27.13,3.65,0,0,1,0,0,0,0,0,0,0,0,2.13,21.51
CarMax Inc,KMX,2546950,16.66,0.015856048458934624,2083282,0,1230000000,3.26,0.18292682926829262,10370000000,0.19365758061642602,1.09,17.06,-0.006769998218421613,-0.0759,3.37,15.75,14.33,0.63,1,0,0,0,0,0,0,0,0,0,0,10.16,60.18
Coca-Cola Company (The) Common,KO,14637400,5.38,0.011609008590666357,13164613,3.46,11530000000,1.49,0.04278074866310155,186680000000,0.025307638727652515,7.60,29.18,0.0009287206872532483,0.0416,8.01,23.25,22.30,4.42,0,1,0,0,0,0,0,0,0,0,0,2.63,41.74
Michael Kors Holdings Limited O,KORS,2741840,11.42,0.010986066452304493,1623215,0,1220000000,4.38,-0.033653846153846256,5990000000,0.095123258306538,-2.96,8.43,-0.007234726688102988,-0.1411,3.27,8.87,9.18,1.31,1,0,0,0,0,0,0,0,0,0,0,2.05,42.96
Kroger Company (The) Common Sto,KR,8652120,7.25,0.012333333333333248,5886205,1.63,5870000000,2.05,0.0547945205479452,27260000000,0.1476666666666666,2.24,14.55,-0.0006666666666667043,-0.0703,4.14,13.62,12.91,0.24,0,1,0,0,0,0,0,0,0,0,0,1.71,32.07
Kohl's Corporation Common Stock,KSS,4319020,29.75,0.01439218709843234,2767897,5.20,2310000000,3.11,0.005540166204986097,6690000000,0.12027756360832709,1.27,12.49,-0.0017990233873038664,-0.1313,1.31,10.76,10.70,0.36,1,0,0,0,0,0,0,0,0,0,0,5.05,44.70
Kansas City Southern Common Sto,KSU,1508990,38.31,0.01145972407654652,1453307,1.54,1120000000,4.43,0.11462450592885376,9550000000,0.060858923008455745,1.56,20.22,-0.006564307966177019,0.0292,2.35,17.70,15.88,4.11,0,0,0,0,0,1,0,0,0,0,0,2.01,87.04
Loews Corporation Common Stock,L,830389,53.96,0.010111876075731474,1013469,0.54,2940000000,1.93,0.03267973856209161,15540000000,-0.03184165232357994,2.69,23.92,-0.0064543889845094515,0.016200000000000003,0.86,15.08,14.61,1.19,0,0,0,1,0,0,0,0,0,0,0,1.89,45.42
"Leggett & Platt, Incorporated C",LEG,1015180,8.18,0.005462348809988317,1016258,2.70,589200000,2.76,0.07604562737642584,6930000000,-0.001170503316425986,7.41,18.54,-0.004096761607491284,0.0553,6.27,19.43,18.06,1.85,1,0,0,0,0,0,0,0,0,0,0,10.43,48.42
Lennar Corporation Class A Comm,LEN,2539370,30.31,0.017956064947469052,1819600,0.31,1350000000,3.46,0.2198952879581153,12290000000,0.07564469914040117,1.47,15.17,-0.005539637058261659,0.151,1.73,12.25,11.25,1.09,1,0,0,0,0,0,0,0,0,0,0,3.81,45.55
Laboratory Corporation of Ameri,LH,779256,53.61,0.009823872008981866,511355,0.00,1830000000,7.02,0.08125000000000004,14550000000,0.09894042523331703,1.65,20.25,-0.004911936004490802,0.058600000000000006,2.66,14.81,13.70,1.54,0,0,0,0,1,0,0,0,0,0,0,3.75,134.31
LKQ Corporation,LKQ,2582870,11.19,0.012108262108262104,1536032,0,1000000000,1.50,0.12365591397849451,8690000000,0.33689458689458696,0.56,18.88,-0.0035612535612534746,-0.10619999999999999,2.51,15.17,13.50,1.01,1,0,0,0,0,0,0,0,0,0,0,2.05,31.57
"L3 Technologies, Inc. Common St",LLL,561132,58.95,0.009126936471718397,447318,1.80,1230000000,9.01,0.09059233449477366,12920000000,0.06599015251591211,2.99,18.44,-0.00762579560465948,0.0583,2.83,19.29,17.69,1.23,0,0,0,0,0,1,0,0,0,0,0,4.59,156.96
Eli Lilly and Company Common St,LLY,3894400,13.33,0.014688031075503687,8210809,2.47,5370000000,2.58,0.07055961070559613,85330000000,0.08096625394513235,1.70,31.47,-0.00570526826899731,0.0426,6.18,19.76,18.41,4.08,0,0,0,0,1,0,0,0,0,0,0,2.41,77.88
Lockheed Martin Corporation Com,LMT,1094680,5.23,0.009189269304876098,762905,2.72,6110000000,17.49,0.11471518987341756,77680000000,0.04742848673484512,2.50,15.37,0.0,0.0462,51.62,21.26,19.08,1.65,0,0,0,0,0,1,0,0,0,0,0,2.30,256.90
Lincoln National Corporation Co,LNC,1869670,63.97,0.019191761585270663,1601244,1.77,1800000000,5.03,0.07439198855507856,14260000000,0.17678264939928212,0.96,12.59,-0.013730691215478319,-0.0007000000000000001,1.00,9.06,8.43,1.08,0,0,0,1,0,0,0,0,0,0,0,2.90,63.35
Alliant Energy Corporation Comm,LNT,1197990,16.96,0.009528585757271701,1276850,3.18,1030000000,1.64,0.07000000000000006,9140000000,-0.017051153460381108,3.12,24.54,-0.0007522567703109884,0.062,2.35,20.08,18.76,2.73,0,0,0,0,0,0,0,0,0,0,1,3.65,37.81
"Lowe's Companies, Inc. Common S",LOW,5199540,7.43,0.008175716900548963,3036544,1.73,7530000000,3.47,0.14038876889848817,70410000000,0.053203172666259846,1.17,23.67,-0.0018303843807200293,0.10550000000000001,11.03,17.74,15.55,1.08,1,0,0,0,0,0,0,0,0,0,0,1.70,74.30
Lam Research Corporation,LRCX,1699080,39.39,0.014450640069111783,2110899,1.40,1620000000,5.58,-0.05177993527508096,20750000000,0.05316893112385146,0.87,22.84,-0.0043194848032670485,0.1484,3.23,13.75,14.50,3.25,0,0,0,0,0,0,1,0,0,0,0,7.03,110.97
Leucadia National Corporation C,LUK,1851600,28.18,0.018330733229329127,3093338,0.98,1250000000,0.34,-0.07100591715976323,9070000000,0.2090483619344774,0.84,74.81,-0.006240249609984372,0.0889,0.91,14.92,16.06,0.85,0,0,0,1,0,0,0,0,0,0,0,1.87,23.15
Southwest Airlines Company Comm,LUV,5755740,13.72,0.023026315789473648,3619979,0.74,5270000000,3.55,0.2131578947368422,33479999999,0.14894005847953218,1.32,15.34,-0.0010964912280702066,0.0981,3.99,14.32,11.80,1.65,0,0,0,0,0,1,0,0,0,0,0,1.95,49.56
"Level 3 Communications, Inc. Co",LVLT,2193840,30.32,0.007352941176470669,2063289,0,2670000000,1.87,0.17105263157894735,21450000000,0.052807486631015976,-1.06,31.81,-0.0020053475935829512,0.0725,1.97,39.13,33.42,2.64,0,0,0,0,0,0,0,0,0,1,0,2.37,55.46
LyondellBasell Industries NV Or,LYB,2774080,14.97,0.01782363977485924,2726804,4.00,6070000000,9.13,-0.08665338645418319,34550000000,0.15032833020637892,-3.07,9.41,-0.004221388367729784,-0.0199,5.70,8.55,9.36,1.18,0,0,0,0,0,0,0,1,0,0,0,3.30,87.58
Macy's Inc Common Stock,M,7961490,14.22,0.013185287994448265,3459596,5.18,2900000000,1.99,-0.161849710982659,8740000000,0.20575988896599573,0.45,14.43,-0.001734906315059015,-0.16699999999999998,2.03,8.30,9.90,0.34,1,0,0,0,0,0,0,0,0,0,0,2.36,34.46
Mastercard Incorporated Common,MA,2993420,5.23,0.0094967604508743,2140956,0.79,6250000000,3.69,0.16431924882629123,121290000000,0.08626963699298829,1.74,30.49,-0.0015975858702406143,0.0516,21.53,26.41,22.69,11.27,0,0,0,0,0,0,1,0,0,0,0,1.93,106.99
Mid-America Apartment Communiti,MAA,746748,56.41,0.00835627211954379,746695,3.42,636260000,2.69,0.1834061135371179,11570000000,0.045812033031852106,6.31,37.90,-0.0004915454187967017,0.06280000000000001,1.80,44.50,37.60,10.26,0,0,0,0,0,0,0,0,1,0,0,1.69,95.88
Macerich Company (The) Common S,MAC,1219960,28.52,0.011529126213592311,956926,4.34,644910000,3.52,0.19047619047619047,9560000000,0.07797330097087385,-944.91,18.88,-0.00182038834951459,-0.037000000000000005,2.31,105.48,88.60,8.74,0,0,0,0,0,0,0,0,1,0,0,5.06,69.01
Marriott International,MAR,2449770,13.88,0.024469820554649264,3102398,1.31,2000000000,2.64,0.16497461928933999,35300000000,0.04654703643284397,1.62,34.86,-0.003915171288743857,0.1264,6.63,23.36,20.05,10.00,1,0,0,0,0,0,0,0,0,0,0,3.96,81.70
"Mattel, Inc.",MAT,5365130,7.03,0.011093502377179126,2574588,6.08,823470000,0.92,0.17931034482758612,8640000000,0.21236133122028544,1.10,27.43,-0.004358161648177483,-0.10949999999999999,3.59,17.41,14.76,1.58,1,0,0,0,0,0,0,0,0,0,0,4.92,28.34
Microchip Technology Incorporat,MCHP,3535740,11.86,0.02396603670227335,2330433,2.00,925100000,0.41,0.15681233933161942,16040000000,0.16570802519857586,0.83,180.36,-0.005751848808545623,0.10460000000000001,6.16,19.06,16.44,5.16,0,0,0,0,0,0,1,0,0,0,0,6.92,67.11
McKesson Corporation Common Sto,MCK,1925000,36.27,0.02579392594647066,5010859,0.78,4620000000,8.43,-0.058637083993660744,29180000000,0.08688115379281647,1.45,16.32,-0.03668007211205093,-0.061200000000000004,3.98,10.90,11.58,0.16,0,0,0,0,1,0,0,0,0,0,0,2.21,146.57
"Mondelez International, Inc.",MDLZ,8167910,16.46,0.01744449478930666,6478145,1.73,4240000000,1.05,0.10426540284360208,68300000000,0.11735387403715447,1.97,42.61,0.001359311282283615,0.0233,2.68,21.20,19.20,2.60,0,1,0,0,0,0,0,0,0,0,0,1.52,43.72
Medtronic plc. Ordinary Shares,MDT,4576360,36.08,0.006968641114982607,4543196,2.15,9090000000,2.83,0.0807860262008735,109960000000,0.0979342956694873,2.37,28.36,0.003982080637132901,0.0227,2.23,17.54,16.23,3.75,0,0,0,0,1,0,0,0,0,0,0,2.29,78.55
"MetLife, Inc. Common Stock",MET,6009780,61.44,0.015606936416185015,6369530,3.13,1570000000,0.63,0.09210526315789469,55660000000,0.14508670520231215,0.85,81.25,-0.009826589595375634,-0.0239,0.84,9.62,8.81,0.89,0,0,0,1,0,0,0,0,0,0,0,2.13,52.44
"McCormick & Company, Incorporat",MKC,807916,13.79,0.01188692438317848,621977,1.90,763100000,3.70,0.09313725490196068,12550000000,-0.014184397163120588,2.86,27.20,0.0004994506043352054,0.0552,7.26,24.68,22.58,2.82,0,1,0,0,0,0,0,0,0,0,0,7.25,95.42
"Martin Marietta Materials, Inc.",MLM,750679,65.53,0.017584277587098504,310113,0.77,954670000,6.63,0.48039215686274517,13290000000,0.11194696506652879,1.27,31.78,-0.007616719168743291,-0.0105,3.25,25.76,19.94,3.75,0,0,0,0,0,0,0,1,0,0,0,2.35,212.96
"Marsh & McLennan Companies, Inc",MMC,1814290,12.03,0.006876633200385092,1098501,1.89,3100000000,3.38,0.11497326203208558,37400000000,0.05528813093109619,1.90,21.49,-0.003988447256223271,0.0449,6.04,19.42,17.41,2.83,0,0,0,1,0,0,0,0,0,0,0,3.32,69.50
3M Company Common Stock,MMM,1917750,17.26,0.0069867619247741776,1176884,2.49,8700000000,8.16,0.08816705336426933,113410000000,-0.002994326539189074,2.46,23.31,-0.0031519226728305982,0.063,11.03,22.07,20.28,3.77,0,0,0,0,0,1,0,0,0,0,0,4.03,178.95
Mallinckrodt plc Ordinary Share,MNK,2235160,47.62,0.02114260008996862,1102129,0,1480000000,2.58,0.12137203166226906,4590000000,0.6794871794871795,0.94,17.02,-0.013945119208277013,-0.18109999999999998,0.93,5.78,5.16,1.37,0,0,0,0,1,0,0,0,0,0,0,8.68,53.55
Monster Beverage Corporation,MNST,2485080,5.88,0.012886025327704918,1852846,0,1210000000,1.19,0.14093959731543615,25670000000,0.22461675183292606,1.55,38.08,-0.0008886914019106129,-0.2737,7.66,30.61,26.65,8.36,0,1,0,0,0,0,0,0,0,0,0,2.31,62.39
"Altria Group, Inc.",MO,6502360,6.58,0.006914672935970128,5010452,3.42,9500000000,7.28,0.0851063829787233,140340000000,0.010786889780113329,2.74,9.94,-0.00013829345871951837,0.053899999999999997,10.99,21.99,20.26,7.25,0,1,0,0,0,0,0,0,0,0,0,1.89,68.64
Monsanto Company Common Stock,MON,2038110,12.63,0.0026680437214906816,1287367,1.87,4260000000,4.35,0.1142857142857141,50880000000,0.06265599449178061,2.95,26.67,-0.001635252603494286,0.0805,9.20,23.66,21.23,3.52,0,0,0,0,0,0,0,1,0,0,0,2.08,107.30
Mosaic Company (The) Common Sto,MOS,4610720,27.37,0.013157894736842085,3874602,2.18,1200000000,0.85,0.2990654205607475,9470000000,0.06652046783625742,1.15,31.81,-0.007309941520467822,-0.060599999999999994,1.00,23.51,19.45,1.34,0,0,0,0,0,0,0,1,0,0,0,3.43,28.78
Marathon Petroleum Corporation,MPC,4596100,25.68,0.027454909819639228,3526540,2.92,4660000000,2.21,0.2773972602739727,25830000000,0.22885771543086175,-120.43,22.14,-0.006012024048096087,0.026099999999999998,1.94,16.76,13.12,0.47,0,0,1,0,0,0,0,0,0,0,0,2.62,47.70
"Merck & Company, Inc. Common St",MRK,9465060,14.58,0.007484076433121001,7394709,3.00,12000000000,1.41,0.09711286089238835,170970000000,0.09872611464968162,2.46,44.16,-0.0054140127388534465,-0.0036,4.31,16.34,14.86,4.33,0,0,0,0,1,0,0,0,0,0,0,1.87,62.49
Morgan Stanley Common Stock,MS,11308500,36.99,0.01928175463967214,13872360,1.97,0.00,2.92,0.15634218289085533,76900000000,0.1385876114726441,0.85,14.11,-0.01205109664979509,0.0022,1.12,12.16,10.51,2.24,0,0,0,1,0,0,0,0,0,0,0,2.03,41.12
Microsoft Corporation,MSFT,22425900,8.90,0.008399511301160616,15145346,2.40,27740000000,2.12,0.101010101010101,505300000000,0.062156383628588774,2.35,30.77,-0.002290775809407508,0.0493,7.36,22.02,20.00,5.91,0,0,0,0,0,0,1,0,0,0,0,1.94,62.32
M&T Bank Corporation Common Sto,MTB,897145,97.66,0.02511222431852198,1264928,1.84,0.00,7.78,0.1235697940503433,23410000000,0.02511222431852178,2.28,19.52,-0.0034480515256001265,0.0207,1.57,17.37,15.48,4.64,0,0,0,1,0,0,0,0,0,0,0,4.48,148.77
"Mettler-Toledo International, I",MTD,172734,16.72,0.012490128434265745,115170,0,588240000,14.22,0.11556886227544916,12400000000,-0.06251298890228185,2.35,33.61,-0.008541502140571144,0.0863,28.79,28.62,25.64,4.98,0,0,0,0,1,0,0,0,0,0,0,9.80,439.90
"Micron Technology, Inc.",MU,27038900,12.92,0.016218208625138272,14407057,0.00,4730000000,0.64,0.20093457943925208,30030000000,0.42388499815702185,6.25,42.27,-0.004791743457427167,0.22920000000000001,2.10,6.34,5.28,2.04,0,0,0,0,0,0,1,0,0,0,0,1.83,22.08
Mylan N.V.,MYL,5844340,20.76,0.014913448735020035,4422877,0.00,3530000000,0.92,0.09056603773584904,19830000000,0.3770972037283624,0.73,40.25,-0.01517976031957391,-0.0434,1.81,6.99,6.42,1.82,0,0,0,0,1,0,0,0,0,0,0,3.67,38.71
Navient Corporation,NAVI,2446860,12.72,0.022772940388479563,3190223,4.36,0.00,2.12,0.0439560439560438,4380000000,0.19825853985264574,2.84,7.10,-0.008037508372404467,-0.021400000000000002,1.17,8.27,7.92,2.07,0,0,0,1,0,0,0,0,0,0,0,4.64,15.38
"Nasdaq, Inc.",NDAQ,882536,32.60,0.011725535610885757,1041712,1.88,1160000000,0.64,0.098086124401914,11520000000,0.09568616097278526,1.55,107.97,-0.003908511870295284,0.0167,2.12,16.53,15.19,3.11,0,0,0,1,0,0,0,0,0,0,0,3.49,67.97
"NextEra Energy, Inc. Common Sto",NEE,1798650,52.01,0.012374914063096818,1955610,3.01,7670000000,6.25,0.07261724659606639,61690000000,0.05576350164234989,2.86,21.11,-7.6388358414059e-05,0.0708,2.52,19.96,18.61,3.79,0,0,0,0,0,0,0,0,0,0,1,6.23,123.21
"Netflix, Inc.",NFLX,5784100,6.23,0.05025466893039053,19670975,0,437320000,0.43,0.7837837837837835,61700000000,0.029813242784380245,1.66,333.40,0.0009507640067911716,0.09820000000000001,23.63,129.15,72.40,7.18,0,0,0,0,0,0,1,0,0,0,0,5.24,130.54
