.Name,.Symbol,AverageDailyVolume,BookValue,DividendYield,EBITDA,EPSEstimateCurrentYear,EPSEstimateNextQuarter,EPSEstimateNextYear,EarningsShare,FiftydayMovingAverage,MarketCapitalization,OneyrTargetOverCurrent,PEGRatio,PERatio,PercentChange,PercentChangeAfterHours,PercentChangeFromFiftydayMovingAverage,PercentChangeFromTwoHundreddayMovingAverage,PercentChangeFromYearHigh,PercentChangeFromYearLow,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,ShortRatio,StockExchange,TwoHundreddayMovingAverage,Volume
Genuine Parts Company Common St,GPC,603844,22.34,2.64,1240000000.0,4.58,1.11,4.91,4.63,97.52,14890000000.0,0.9872489959839358,2.50,21.63,0.0046,-0.0006020469596629274,0.026699999999999998,0.024900000000000002,-0.0552,0.156,4.46,21.86,20.39,0.97,3.90,1,97.68,487911
"Gap, Inc. (The) Common Stock",GPS,6539220,6.83,3.89,1980000000.0,2.02,0.34,2.07,1.68,23.53,9730000000.0,1.054109871953738,2.66,14.52,0.0079,0.0004132231404958553,0.0366,-0.0174,-0.2066,0.4347,3.54,12.07,11.78,0.62,3.93,1,24.82,5208610
Garmin Ltd.,GRMN,1172320,17.84,4.10,692370000.0,2.69,0.48,2.68,2.68,48.94,9580000000.0,0.9434713375796178,2.79,18.97,0.0113,-0.00019900497512437276,0.0383,0.0169,-0.0956,0.3234,2.82,18.89,18.96,3.22,14.63,0,49.98,1008501
"Goldman Sachs Group, Inc. (The)",GS,4180400,181.25,1.07,0.00,19.19,4.10,21.77,16.29,239.28,103920000000.0,0.9889057386862479,1.03,15.38,0.0043,0.004489697747133814,0.0471,0.2582,-0.005600000000000001,0.8129000000000001,1.38,13.06,11.51,3.38,0.95,1,199.12,4296636
The Goodyear Tire & Rubber Comp,GT,3014260,17.91,1.01,2530000000.0,4.05,0.90,5.09,4.74,31.93,9100000000.0,1.0275049115913555,1.36,7.63,0.0115,-0.003635346756151958,0.13269999999999998,0.17010000000000003,-0.0069,0.4879,2.00,8.93,7.11,0.59,7.12,0,30.91,3146703
"W.W. Grainger, Inc. Common Stoc",GWW,661439,32.41,1.91,1370000000.0,11.88,3.05,13.18,9.87,244.74,14880000000.0,0.9595176912433288,2.86,25.63,-0.0028000000000000004,-0.0031527093596059874,0.0339,0.10619999999999999,-0.0368,0.253,7.83,21.30,19.20,1.47,8.23,1,228.73,302810
Harman International Industries,HAR,1164510,36.87,1.26,860350000.0,7.35,1.80,7.56,5.06,110.95,7770000000.0,0.9557737344622591,1.00,21.98,0.0008,-0.00027014858171992007,0.0017000000000000001,0.15990000000000001,-0.0023,0.7117,3.01,15.12,14.70,1.08,1.32,1,95.82,962502
"Hasbro, Inc.",HAS,1719090,14.91,2.34,975380000.0,4.66,0.48,4.99,4.34,85.36,12210000000.0,0.9728065674704977,3.93,22.51,-0.0009,-0.0035787321063394106,0.1447,0.1809,-0.0106,0.37229999999999996,6.56,20.83,19.58,2.43,4.09,0,82.74,364724
Huntington Bancshares Incorpora,HBAN,13073500,8.48,2.35,0.00,0.96,0.23,1.10,0.67,13.45,15440000000.0,1.0435087719298246,1.43,21.22,0.0070999999999999995,0.009206798866855603,0.0571,0.24239999999999998,-0.0042,0.7676000000000001,1.66,14.81,12.93,4.61,1.97,0,11.45,8533307
Hanesbrands Inc. Common Stock,HBI,7637840,3.23,2.88,1010000000.0,1.98,0.56,2.16,1.41,21.88,8000000000.0,1.3234022104757328,1.04,15.03,0.0134,-0.0019184652278179115,-0.034300000000000004,-0.12789999999999999,-0.3054,0.1174,6.45,10.67,9.78,1.31,5.04,1,24.23,7131568
Welltower Inc. Common Stock,HCN,2037840,38.03,5.28,2089999999.9999998,2.26,0.46,1.97,2.27,66.46,23770000000.0,1.0636112814224403,10.11,28.93,0.0011,-0.0041215081666922115,-0.0132,-0.056600000000000004,-0.1822,0.1686,1.72,29.02,33.29,5.75,7.86,1,69.51,1692789
"HCP, Inc. Common Stock",HCP,4293040,11.85,4.80,1280000000.0,0.82,0.21,0.84,1.34,30.32,14240000000.0,1.0237467018469657,14.84,22.68,0.0003,-0.002959552778691199,0.0032,-0.050300000000000004,-0.1739,0.2284,2.57,37.10,36.21,6.69,3.85,1,32.03,2894593
"Home Depot, Inc. (The) Common S",HD,4375570,4.61,1.97,14930000000.0,6.34,1.61,7.16,6.16,136.84,173210000000.0,1.0462943300063707,1.63,23.08,0.0059,-0.0006366723259763063,0.0391,0.0782,-0.0033,0.1974,30.68,22.43,19.86,1.84,2.03,1,131.88,4343541
Hartford Financial Services Gro,HIG,2506400,45.21,1.92,1540000000.0,4.12,0.94,4.52,2.27,48.17,18170000000.0,1.0839002267573696,1.25,21.41,0.0021,0.00020618556701035295,0.009000000000000001,0.0832,-0.0217,0.2487,1.07,11.80,10.75,0.99,1.80,1,44.87,3058405
"Harley-Davidson, Inc. Common St",HOG,1955590,10.87,2.55,1260000000.0,3.86,1.60,4.25,3.83,58.17,10120000000.0,0.9968679310944841,1.61,14.96,-0.0078000000000000005,-0.004676134395566356,-0.0151,0.0252,-0.0812,0.4276,5.31,14.84,13.48,1.70,7.67,1,55.88,569600
"Hologic, Inc.",HOLX,2464500,8.02,0,1040000000.0,1.92,0.47,2.10,1.17,39.93,11000000000.0,1.1602266872746008,2.46,33.68,0.0095,-0.005380476556494984,-0.0134,0.0148,-0.0446,0.2071,4.86,20.52,18.76,3.80,2.46,0,38.82,3600435
Honeywell International Inc. Co,HON,3235790,25.64,2.18,7710000000.0,7.04,1.75,7.66,6.20,118.34,94450000000.0,1.0643644617380026,2.53,19.98,0.0021,-0.002103219543763135,0.046799999999999994,0.078,-0.0006,0.23,4.82,17.60,16.17,2.40,0.98,1,114.92,181583
Hewlett Packard Enterprise Comp,HPE,10312200,18.87,1.00,7830000000.0,2.04,0.47,2.06,1.82,23.15,40590000000.0,1.0202312138728324,10.02,13.40,0.009899999999999999,0.003314001657000798,0.053200000000000004,0.0741,-0.0165,0.9017000000000001,1.28,11.95,11.83,0.80,2.95,1,22.70,6836444
Hormel Foods Corporation Common,HRL,2546120,8.42,1.83,1420000000.0,1.71,0.41,1.76,1.64,36.10,20030000000.0,1.060597971169247,2.80,23.09,0.0074,-0.0034583665868582747,0.049100000000000005,0.0366,-0.1534,0.1414,4.47,22.15,21.52,2.09,10.36,1,36.53,2640791
Harris Corporation Common Stock,HRS,703942,25.40,2.00,1580000000.0,5.55,1.59,6.13,5.28,102.97,13360000000.0,1.089606401786545,0.46,20.32,-0.005699999999999999,-0.004354270891235856,0.042199999999999994,0.10490000000000001,-0.0070999999999999995,0.4637,4.25,19.34,17.51,1.82,1.89,1,97.13,1004509
"Henry Schein, Inc.",HSIC,636324,35.90,0,966570000.0,6.58,1.60,7.25,6.02,158.89,13510000000.0,1.0341545690018674,2.24,27.88,0.0075,-0.003840384038403921,0.0567,0.059000000000000004,-0.0825,0.1482,4.64,25.52,23.16,1.19,7.44,0,158.55,504572
"Host Hotels & Resorts, Inc. Com",HST,10001000,9.61,5.45,1430000000.0,0.99,0.14,0.69,1.06,18.35,13780000000.0,0.9871313672922253,-0.68,17.58,-0.0069,-0.005333333333333412,0.014499999999999999,0.076,-0.045599999999999995,0.30210000000000004,1.95,18.81,26.99,2.53,7.26,1,17.30,9731675
The Hershey Company Common Stoc,HSY,1056230,3.89,2.28,1650000000.0,4.79,0.92,5.13,3.34,105.63,23160000000.0,0.99250069438015,2.51,32.57,0.0042,-0.003045966402067557,0.03,0.0666,-0.07629999999999999,0.2375,27.86,22.71,21.21,3.10,3.41,1,102.00,1058125
Humana Inc. Common Stock,HUM,1641020,71.57,0.56,2310000000.0,10.83,2.78,11.74,4.07,201.94,30660000000.0,1.0769118859415159,1.50,50.45,-0.0032,0.0011652182356653995,0.0168,0.0876,-0.057300000000000004,0.3688,2.88,18.96,17.49,0.57,0.64,1,188.78,3004566
International Business Machines,IBM,3585630,19.2350,3.1300,17490000000.0,13.7900,3.1700,14.1600,12.3810,172.0860,172460000000.0,0.9187014428412876,5.1000,14.6840,0.009284,0.000388608227391396,0.056462000000000005,0.12113,-0.0006460000000000001,0.47507,9.3647,13.1836,12.8392,2.1381,5.0100,1,162.1600,2345816
Intercontinental Exchange Inc.,ICE,2807020,26.42,1.39,2750000000.0,3.00,0.74,3.40,2.37,57.51,6790000000.0,1.096884045632556,1.55,24.90,0.0060999999999999995,0.0013640238704177854,0.0262,0.054299999999999994,-0.0253,0.2985,2.22,19.60,17.36,1.50,2.05,1,55.97,1374137
Internationa Flavors & Fragranc,IFF,632464,21.31,2.17,701740000.0,5.46,1.54,5.87,5.03,117.66,9460000000.0,1.1140933878663941,3.43,23.71,0.010700000000000001,-0.004580152671755822,0.0127,-0.06509999999999999,-0.1704,0.17980000000000002,5.53,21.82,20.30,3.05,6.95,1,127.46,669126
"Illumina, Inc.",ILMN,1316780,15.46,0,623830000.0,3.63,0.87,4.29,3.07,154.26,24190000000.0,0.9528198242187501,3.95,53.67,0.0018,-0.003769913656816226,0.0681,0.0746,-0.1184,0.38020000000000004,10.64,45.39,38.41,10.07,3.63,0,153.32,89352
Intel Corporation,INTC,21628100,13.99,2.94,22960000000.0,2.78,0.64,2.93,2.12,36.66,169940000000.0,1.1381230854915065,1.58,16.93,-0.0011,-0.0005566379070415239,-0.0209,-0.0032,-0.0666,0.2646,2.57,12.91,12.25,2.86,3.47,0,36.00,4003030
Intuit Inc.,INTU,1167660,3.64,1.16,1430000000.0,4.35,3.89,4.96,3.74,117.03,30530000000.0,0.9859962881727686,1.57,31.82,0.0009,-0.0025244025580611895,0.016399999999999998,0.054900000000000004,-0.013300000000000001,0.2641,32.64,27.34,23.98,6.41,2.35,0,112.75,1031135
International Paper Company Com,IP,3007370,10.55,3.50,2850000000.0,3.62,0.85,4.14,2.18,54.03,21830000000.0,1.0281610281610283,1.83,24.37,0.0038,0.0005673222390316646,-0.0175,0.0705,-0.09820000000000001,0.5878,5.01,14.66,12.82,1.03,3.61,1,49.59,1314263
Ingersoll-Rand plc (Ireland),IR,1939980,25.58,1.97,1930000000.0,4.47,1.44,4.97,5.64,78.13,21500000000.0,1.0373866143662662,2.02,14.52,0.0026,-0.0011019958369046234,0.048,0.1407,-0.0034999999999999996,0.5954999999999999,3.19,18.32,16.47,1.59,2.74,1,71.78,547852
Iron Mountain Incorporated (Del,IRM,1462360,8.07,5.85,1000000000.0,1.11,0.29,1.27,0.26,34.99,9820000000.0,1.106290672451193,3.39,141.14,0.005699999999999999,-0.004588394062078116,0.06480000000000001,0.0608,-0.10220000000000001,0.3042,4.59,33.57,29.34,2.93,11.14,1,35.12,932378
"Intuitive Surgical, Inc.",ISRG,366308,148.91,0,1050000000.0,23.49,5.86,26.53,18.73,674.90,27800000000.0,1.0468923457414667,2.58,38.27,0.0025,-0.004601913500811183,0.062,0.0608,-0.014499999999999999,0.35119999999999996,4.80,30.51,27.02,10.25,9.03,0,675.65,303246
Illinois Tool Works Inc. Common,ITW,1278400,12.26,2.03,3530000000.0,6.17,1.60,6.83,5.70,125.29,44730000000.0,1.0320458239801844,2.26,22.64,-0.0042,-0.0031635802469135443,0.0301,0.0661,-0.0085,0.38789999999999997,10.57,20.88,18.90,3.30,4.35,1,121.06,100635
Invesco Ltd Common Stock,IVZ,3196020,18.94,3.52,1350000000.0,2.40,0.58,2.71,2.06,30.73,13360000000.0,1.0222428174235405,1.79,15.88,0.0222,0.01156249999999992,0.0645,0.0674,-0.0189,0.42090000000000005,1.69,13.63,12.07,2.76,2.24,1,30.64,2972915
"J.B. Hunt Transport Services, I",JBHT,929292,12.70,0.92,1080000000.0,4.16,1.00,4.77,3.81,98.05,11210000000.0,1.0520864756158872,1.93,26.42,0.0118,-0.0005025125628140836,0.026699999999999998,0.1378,-0.0167,0.35200000000000004,7.83,24.20,21.10,1.69,3.65,0,88.48,754144
Jacobs Engineering Group Inc. C,JEC,1053500,33.59,1.05,642120000.0,3.13,0.82,3.47,1.85,58.22,7030000000.0,1.042645778938207,2.93,31.38,0.011899999999999999,0.001219937260369397,-0.0027,0.051399999999999994,-0.08449999999999999,0.5824,1.71,18.67,16.73,0.65,3.77,1,55.22,548369
Johnson & Johnson Common Stock,JNJ,6883010,26.73,2.78,24810000000.0,7.04,1.81,7.38,5.93,114.54,318850000000.0,1.0790336496980155,2.80,19.76,0.0072,-0.003953248539016796,0.0232,0.0036,-0.0704,0.1434,4.35,16.65,15.88,4.40,2.18,1,116.78,5979679
"Juniper Networks, Inc. Common S",JNPR,3791950,13.085,1.450,1120000000.0,2.190,0.530,2.350,1.550,27.762,10630000000.0,1.0197274031563845,1.150,18.055,0.00377,0.0,0.008020000000000001,0.0971,-0.04194,0.32161,2.131,12.779,11.909,2.123,1.950,1,25.508,1773684
JP Morgan Chase & Co. Common St,JPM,16432200,63.89,2.21,0.00,6.55,1.65,7.47,6.19,86.06,323180000000.0,0.990341918294849,2.20,14.62,0.0106,0.005806163465832848,0.051699999999999996,0.20420000000000002,-0.0021,0.6659,1.40,13.82,12.12,3.54,2.17,1,75.16,11474394
"Nordstrom, Inc. Common Stock",JWN,3192950,4.97,3.29,1590000000.0,2.93,0.32,3.08,1.88,45.02,7990000000.0,1.0873850197109067,3.10,24.54,0.015,0.0048415492957745165,0.024399999999999998,-0.0902,-0.2658,0.3173,9.15,15.74,14.97,0.54,8.52,1,50.69,4031884
Kellogg Company Common Stock,K,1642390,5.44,2.74,2250000000.0,3.95,0.97,4.34,1.96,73.10,26690000000.0,1.0992295430393197,2.77,38.80,0.0016,-0.008429926238145424,0.0403,0.001,-0.1276,0.075,13.95,19.25,17.52,2.05,2.88,1,75.97,1934353
KeyCorp Common Stock,KEY,12898900,12.58,1.86,0.00,1.31,0.32,1.51,0.80,18.23,20610000000.0,1.0407949790794977,1.27,23.85,0.012199999999999999,0.013248542660307283,0.0475,0.2579,-0.005699999999999999,0.8818,1.50,14.58,12.65,4.31,1.67,1,15.18,14834163
The Kraft Heinz Company,KHC,2746610,47.341,2.660,8710000000.0,3.240,0.940,3.900,2.272,88.285,110890000000.0,0.9907823987709866,1.270,40.095,0.00314,0.003523840986675353,0.03183,0.04535,-0.0022500000000000003,0.28267,1.918,27.773,23.358,4.132,4.650,0,87.143,3083858
Kimco Realty Corporation Common,KIM,3315690,12.37,4.31,748300000.0,0.64,0.16,0.70,0.79,25.10,10290000000.0,1.1144016227180527,12.28,30.63,-0.0194,-0.001215559157212387,-0.035699999999999996,-0.11199999999999999,-0.2494,0.0,2.00,37.81,34.57,8.95,3.99,1,27.25,1012554
KLA-Tencor Corporation,KLAC,1547590,6.16,2.49,1250000000.0,5.75,1.53,6.08,5.50,82.92,13680000000.0,0.996321416254742,1.26,15.87,0.0036,0.0,0.0528,0.1481,-0.009300000000000001,0.34759999999999996,14.13,15.18,14.36,4.18,1.88,0,76.04,147039
"Kinder Morgan, Inc. Common Stoc",KMI,12765200,15.44,2.22,6160000000.0,0.68,0.15,0.79,0.25,22.12,49660000000.0,1.140562248995984,-66.30,89.80,-0.012,-0.005767524401064761,0.0067,0.0336,-0.0467,0.33909999999999996,1.46,32.75,28.19,3.85,1.53,1,21.55,11872662
CarMax Inc,KMX,1971010,16.09,0,1210000000.0,3.29,1.00,3.57,3.16,66.40,12840000000.0,0.9924900603740245,1.54,21.74,0.005600000000000001,-0.004544121958370062,0.0331,0.16449999999999998,-0.0038,0.6299,4.24,20.85,19.22,0.82,10.31,1,58.91,1793110
Coca-Cola Company (The) Common,KO,13948200,5.38,3.45,11610000000.0,1.89,0.57,1.95,1.49,41.40,173750000000.0,1.0796635329045028,7.37,27.19,-0.0002,-0.0027140389834690026,-0.0212,-0.037000000000000005,-0.14029999999999998,0.016,7.54,21.44,20.78,4.15,2.89,1,42.07,18330259
Michael Kors Holdings Limited O,KORS,2740600,11.35,0,1210000000.0,4.17,0.83,4.04,4.38,41.51,6210000000.0,1.1025641025641026,2.28,8.70,-0.0013,-0.007086614173228423,-0.0833,-0.1848,-0.3604,0.08960000000000001,3.36,9.12,9.42,1.34,5.90,1,46.68,2624559
Kroger Company (The) Common Sto,KR,7480160,7.08,1.43,5880000000.0,2.11,0.71,2.24,2.08,33.72,31440000000.0,1.0843373493975903,2.52,16.10,0.013300000000000001,0.003931055337163647,-0.0063,0.0294,-0.1809,0.1672,4.67,15.88,14.96,0.27,1.85,1,32.55,7743643
Kohl's Corporation Common Stock,KSS,4449570,29.02,4.76,2380000000.0,3.64,0.34,3.73,3.29,42.11,7560000000.0,1.0888836772983115,1.48,13.04,0.0049,0.0,0.0175,-0.060599999999999994,-0.28190000000000004,0.2651,1.47,11.77,11.49,0.40,3.56,1,45.62,3782946
Kansas City Southern Common Sto,KSU,1760410,38.31,1.54,1120000000.0,5.06,1.25,5.63,4.43,84.80,9250000000.0,1.1193492155723417,1.52,19.58,0.0038,-0.0042814163388105175,0.023,-0.0322,-0.1384,0.0974,2.26,17.14,15.41,3.95,1.32,1,89.64,1757818
Loews Corporation Common Stock,L,870352,54.22,0.54,1680000000.0,3.03,0.74,3.20,1.87,46.54,15900000000.0,0.9184109354976505,2.76,25.29,0.0062,-0.002981260647359485,0.015300000000000001,0.0851,-0.0166,0.3344,0.87,15.59,14.77,1.21,2.31,1,43.55,771854
"Leggett & Platt, Incorporated C",LEG,872716,8.19,2.78,597900000.0,2.63,0.70,2.83,2.76,48.26,6440000000.0,1.0475992517148203,7.15,17.51,0.0012,-0.0018672199170125525,-0.0,-0.0098,-0.1165,0.1184,5.88,18.35,17.05,1.72,6.95,1,48.74,865269
Lennar Corporation Class A Comm,LEN,2573260,29.97,0.34,1340000000.0,3.82,0.94,4.50,3.93,44.75,11000000000.0,1.1073898012100258,1.36,11.92,0.0149,0.001514823631248552,0.0481,0.0641,-0.054400000000000004,0.18230000000000002,1.54,11.25,10.42,0.99,3.21,1,44.07,2058483
Laboratory Corporation of Ameri,LH,761126,53.73,0.00,1790000000.0,8.80,2.22,9.63,6.31,132.80,14050000000.0,1.0952803669181832,1.56,21.63,0.0036,-0.0051516043567853,0.0269,0.0264,-0.035,0.30010000000000003,2.53,15.50,14.16,1.51,2.84,1,132.86,1009505
LKQ Corporation,LKQ,1889500,11.15,0,1020000000.0,1.81,0.49,2.03,1.53,31.43,9820000000.0,1.2348460806093302,0.52,20.86,0.008199999999999999,-0.004737839545167377,0.015600000000000001,-0.0401,-0.1219,0.3066,2.84,17.64,15.72,1.14,2.06,0,33.25,1627120
"L3 Technologies, Inc. Common St",LLL,589006,58.8620,1.7200,1210000000.0,8.6000,2.0800,9.3800,9.0090,154.7070,12900000000.0,1.0594516767652529,2.9800,18.5190,0.006683,0.00579255415434754,0.078409,0.10335699999999999,-0.006742000000000001,0.441361,2.8156,19.3997,17.7865,1.2188,1.9300,1,151.2090,199706
Linear Technology Corporation,LLTC,1591990,7.81,2.08,725980000.0,2.22,0.59,2.41,2.04,62.83,15400000000.0,0.9839137904107449,2.92,31.35,0.0016,0.0028191072826937447,0.0179,0.054400000000000004,-0.0108,0.531,8.18,28.81,26.54,10.36,5.92,0,60.65,423750
Eli Lilly and Company Common St,LLY,6127810,14.74,2.67,5410000000.0,4.10,1.03,4.39,2.58,76.38,86040000000.0,1.102246617309165,1.69,31.13,0.0183,-0.005963710189062277,0.0506,0.046799999999999994,-0.042199999999999994,0.2504,5.35,19.57,18.28,3.98,2.22,1,76.66,4272836
Lockheed Martin Corporation Com,LMT,1436000,5.178,2.790,6760000000.0,12.650,3.090,14.100,17.491,254.845,76610000000.0,1.0747328244274807,2.490,15.010,-0.00010999999999999999,-0.0021328458257160454,0.03016,0.04733,-0.0273,0.25553000000000003,50.707,20.754,18.619,1.622,1.580,1,250.668,670661
Lincoln National Corporation Co,LNC,1533830,63.98,1.63,1800000000.0,6.98,1.73,7.51,5.03,68.18,16540000000.0,1.0085458304617505,1.18,14.53,0.0132,0.005822819908498644,0.0719,0.29,-0.0008,1.1393,1.13,10.47,9.73,1.22,4.28,1,56.65,1499997
Alliant Energy Corporation Comm,LNT,969440,16.96,3.33,1030000000.0,1.88,0.43,2.00,1.51,37.57,8539999999.999999,0.9938221864088101,3.34,24.84,-0.0034999999999999996,-0.011680382267056144,-0.0008,-0.0038,-0.0842,0.135,2.22,19.97,18.77,2.63,5.45,1,37.68,1144488
"Lowe's Companies, Inc. Common S",LOW,5835540,7.56,1.89,7540000000.0,3.92,1.02,4.54,2.72,72.50,66900000000.00001,1.068239035378296,1.22,28.23,0.015700000000000002,-0.003301637612255659,0.060899999999999996,0.055,-0.0806,0.18600000000000003,10.02,19.62,16.94,1.05,1.19,1,72.90,10410263
Lam Research Corporation,LRCX,1892090,39.393,1.550,1620000000.0,9.230,2.650,8.690,5.579,112.611,18930000000.0,1.1380619553024418,0.810,20.833,0.00515,0.0022485514139929386,0.03209,0.14815,-0.024470000000000002,0.716,2.935,12.592,13.375,2.954,5.930,0,101.228,1344366
Leucadia National Corporation C,LUK,1492650,27.97,1.04,1060000000.0,0.20,0.00,1.38,0.12,23.67,9000000000.0,1.2,6.64,213.68,0.0036,0.0036130068245683322,0.0562,0.1985,-0.0008,0.7519,0.89,125.00,18.12,0.84,4.14,1,20.86,2224185
Southwest Airlines Company Comm,LUV,5512430,13.72,0.73,5270000000.0,3.89,1.19,4.68,3.55,51.70,35220000000.0,1.0906694781233528,1.37,16.13,0.0349,0.028927861146266443,0.1072,0.3042,-0.0141,0.6312,4.03,14.71,12.23,1.67,1.06,1,43.89,5557218
"Level 3 Communications, Inc. Co",LVLT,2191100,30.33,0,2680000000.0,1.64,0.40,1.86,1.87,58.48,20700000000.0,1.0958000694203403,-0.95,30.76,-0.006,-0.004320027648176961,-0.0165,0.0874,-0.0433,0.307,1.91,35.07,30.92,2.55,1.73,1,52.89,2171045
LyondellBasell Industries NV Or,LYB,3106540,14.97,3.70,6110000000.0,9.98,2.68,9.00,9.13,90.97,37610000000.0,1.0486992044721566,8.33,10.20,-0.0006,-0.0013955984970478452,0.0233,0.1149,-0.0466,0.3333,6.22,9.33,10.34,1.29,2.87,1,83.49,1764970
Macy's Inc Common Stock,M,8058580,12.40,4.72,3010000000.0,3.05,0.40,3.20,2.20,31.41,10010000000.0,1.0757069017938583,0.57,14.90,0.0018,0.00642594859241119,0.042300000000000004,-0.1016,-0.2804,0.14679999999999999,2.64,10.73,10.23,0.38,1.89,1,36.44,7324994
Mastercard Incorporated Common,MA,3577160,5.23,0.82,6250000000.0,4.26,1.06,4.96,3.69,107.51,118540000000.0,1.1186238532110093,1.69,29.72,0.0072,0.0011021307861867058,0.02,0.0675,-0.0127,0.2964,20.81,25.74,22.11,10.92,1.57,1,102.73,2920281
Mid-America Apartment Communiti,MAA,1433630,56.41,3.53,617070000.0,2.11,0.50,2.34,2.69,96.80,11120000000.0,1.0688527939523955,6.82,36.40,-0.0088,-0.009110233829334957,0.0116,0.036000000000000004,-0.1099,0.1515,1.75,47.30,41.85,9.97,1.98,1,94.52,252578
Macerich Company (The) Common S,MAC,926879,28.52,4.15,641380000.0,0.64,0.13,0.77,3.52,69.39,9670000000.0,1.1250748951467944,-954.09,19.09,0.0003,-0.006103915438439689,-0.0317,-0.09939999999999999,-0.2891,0.0213,2.36,104.98,87.26,8.92,3.18,1,74.61,1481395
Marriott International,MAR,2533750,14.96,1.39,1650000000.0,3.63,0.90,4.05,2.81,84.43,34930000000.0,0.9954322256480531,1.64,31.85,0.0179,-0.003640914779838522,0.059500000000000004,0.1787,0.0,0.4697,5.88,24.64,22.09,11.49,3.83,0,75.90,3447087
"Mattel, Inc.",MAT,5245240,7.02,5.91,824150000.0,1.46,0.02,1.69,0.92,28.07,8910000000.0,1.18337885290675,1.12,28.26,0.0121,-0.0023355391202803943,-0.0738,-0.1509,-0.252,0.033,3.66,17.81,15.38,1.61,4.79,0,30.62,5486838
Microchip Technology Incorporat,MCHP,3094460,11.86,2.04,925100000.0,3.90,1.11,4.49,0.41,67.39,15560000000.0,1.17347801578354,0.77,174.94,0.0158,0.002543091268719877,0.067,0.1389,-0.0601,0.7313,5.97,18.44,16.01,5.00,7.37,0,63.13,5638432
McKesson Corporation Common Sto,MCK,2085190,36.27,0.80,4620000000.0,12.67,2.92,11.95,8.43,143.63,31710000000.0,1.0629571399275413,1.47,17.74,0.0298,0.007506887052341593,0.040999999999999995,-0.0524,-0.2503,0.3055,4.00,11.80,12.51,0.16,0.00,1,157.79,2538250
"Mondelez International, Inc.",MDLZ,7988430,16.34,1.69,4330000000.0,2.11,0.49,2.33,1.05,44.66,69870000000.0,1.10002227667632,1.94,43.21,0.0084,-0.0022227161591464872,0.0158,0.0434,-0.0222,0.1589,2.75,21.50,19.47,2.67,2.07,0,43.48,5831927
Medtronic plc. Ordinary Shares,MDT,6688890,36.55,2.24,8960000000.0,4.56,1.31,4.99,3.00,74.63,106690000000.0,1.103079331941545,2.22,25.87,0.0084,-0.005321219987021397,0.041100000000000005,-0.0332,-0.12960000000000002,0.1204,2.11,17.04,15.57,3.65,1.41,1,80.37,4244303
"MetLife, Inc. Common Stock",MET,5856720,61.44,3.02,1810000000.0,5.33,1.30,5.85,0.63,53.83,59080000000.0,1.1079682011462377,0.90,85.74,0.0009,0.0038975501113585054,0.0019,0.0977,-0.0716,0.491,0.88,10.12,9.27,0.93,3.40,1,49.13,6785537
"McCormick & Company, Incorporat",MKC,732550,12.98,1.93,754100000.0,4.10,0.82,4.45,3.69,93.91,12020000000.0,1.0052756801489604,2.71,26.03,-0.0083,-0.0018585441404233016,0.022799999999999997,0.0052,-0.1093,0.0836,7.46,23.43,21.58,2.75,6.07,1,95.55,187154
"Martin Marietta Materials, Inc.",MLM,698260,65.47,0.73,917740000.0,7.14,2.48,11.24,6.34,227.32,14090000000.0,1.041219675050078,1.26,35.03,-0.0195,-0.007773508237268634,-0.023399999999999997,0.0837,-0.0901,0.6613,3.46,24.80,19.75,4.14,3.07,1,204.86,1739565
"Marsh & McLennan Companies, Inc",MMC,2021440,12.20,1.91,3100000000.0,3.73,1.01,4.19,3.38,68.80,37330000000.0,1.0442404006677797,1.84,21.49,0.0096,-0.0008340283569642226,0.0557,0.0764,-0.0012,0.2853,5.90,19.47,17.33,2.80,2.24,1,67.47,1609015
3M Company Common Stock,MMM,1879340,17.33,2.63,8680000000.0,8.62,2.23,9.38,8.16,177.54,108430000000.0,1.0412090959511924,2.36,22.27,0.0070999999999999995,-0.0007205010253283906,0.023399999999999997,0.0349,-0.0031,0.204,10.41,21.08,19.37,3.58,3.68,1,175.57,1762914
Mallinckrodt plc Ordinary Share,MNK,2583360,47.62,0,1480000000.0,7.56,1.94,8.52,2.58,49.66,5500000000.0,1.4711163153786102,1.05,20.37,0.026600000000000002,0.001955416503715224,0.0572,-0.1574,-0.3883,0.2304,1.07,6.94,6.16,1.57,4.45,1,62.31,2767069
Monster Beverage Corporation,MNST,2740370,5.95,0,1140000000.0,1.24,0.33,1.48,1.11,43.69,24750000000.0,1.2432494807292869,1.69,38.91,-0.0007000000000000001,-0.001152604887044828,-0.0078000000000000005,-0.0785,-0.2189,0.0913,7.29,34.96,29.29,8.42,3.00,0,47.04,1726621
"Altria Group, Inc.",MO,6489140,6.58,3.37,9260000000.0,3.31,0.87,3.57,7.28,69.94,140010000000.0,1.0001394311210263,2.77,9.91,0.004,-0.0022259321090706274,0.0319,0.0935,-0.0058,0.2133,10.92,21.80,20.22,7.21,1.45,1,66.00,5222302
Monsanto Company Common Stock,MON,1846850,10.04,2.01,4010000000.0,4.73,1.83,5.39,3.65,107.73,47830000000.0,1.1067229977957385,2.85,29.90,0.013300000000000001,0.01161386230604844,0.0124,0.0424,-0.0455,0.3025,10.72,23.06,20.23,3.39,1.56,1,104.63,737566
