.Name,.Symbol,AverageDailyVolume,BookValue,DividendYield,EBITDA,EPSEstimateCurrentYear,EPSEstimateNextQuarter,EPSEstimateNextYear,EarningsShare,FiftydayMovingAverage,MarketCapitalization,OneyrTargetChange,PEGRatio,PERatio,PercentChangeAfterHours,PercentChangeFromFiftydayMovingAverage,PercentChangeFromTwoHundreddayMovingAverage,PercentChangeFromYearHigh,PercentChangeFromYearLow,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,ShortRatio,TwoHundreddayMovingAverage,Volume
Hartford Financial Services Gro,HIG,2851410,45.20,1.92,1480000000.0,4.12,0.96,4.51,2.27,48.48,17850000000.0,0.09546589018302831,1.24,21.24,-0.0024958402662229595,-0.005600000000000001,0.025699999999999997,-0.0408,0.23870000000000002,1.06,11.70,10.69,0.98,1.50,47.00,2255898
"Harley-Davidson, Inc. Common St",HOG,1930920,11.00,2.40,1280000000.0,3.85,1.61,4.24,3.83,59.83,10830000000.0,-0.026843467011642974,1.70,16.20,0.0006468305304010435,0.0371,0.0727,-0.0213,0.4905,5.62,16.12,14.63,1.80,6.47,57.84,1985575
"Hologic, Inc.",HOLX,2266020,8.02,0,1040000000.0,1.99,0.50,2.24,1.17,41.94,11900000000.0,0.09349976448422037,2.34,36.40,-0.00023551577955716052,0.015600000000000001,0.0707,-0.011399999999999999,0.3048,5.29,21.51,19.01,4.13,2.09,39.78,1785207
Honeywell International Inc. Co,HON,2822100,25.46,2.14,7710000000.0,7.04,1.75,7.66,6.20,125.45,94800000000.0,0.0846858428410735,2.52,20.09,-0.000642776795757638,-0.0073,0.0583,-0.023399999999999997,0.1833,4.89,17.69,16.26,2.41,2.54,117.68,1907241
Hewlett Packard Enterprise Comp,HPE,11753800,18.94,1.10,7800000000.0,1.47,0.31,1.36,1.84,22.04,30140000000.0,0.26721311475409837,-1.29,9.86,-0.0021857923497267118,-0.1753,-0.2022,-0.2693,0.1821,0.97,12.37,13.37,0.62,2.19,22.79,11342890
Hormel Foods Corporation Common,HRL,2389490,8.65,1.99,1410000000.0,1.67,0.37,1.75,1.65,34.88,18140000000.0,0.15000000000000013,2.08,20.79,-0.0017441860465114978,-0.0166,-0.0443,-0.1603,0.0338,3.98,20.54,19.60,1.91,9.89,35.89,1147572
Harris Corporation Common Stock,HRS,782192,25.40,1.92,1580000000.0,5.55,1.59,6.13,5.28,110.72,13620000000.0,0.06487370525168101,0.47,20.73,-0.003180083590768712,-0.0113,0.0662,-0.031200000000000002,0.493,4.33,19.72,17.86,1.85,3.79,102.67,208006
"Henry Schein, Inc.",HSIC,469094,35.18,0,987240000.0,7.25,1.76,8.01,6.19,171.07,13470000000.0,0.06115320861946483,2.36,27.47,-0.002071986739284881,-0.0059,0.061,-0.0707,0.163,4.80,23.46,21.23,1.16,5.04,160.28,399525
"Host Hotels & Resorts, Inc. Com",HST,8308000,9.48,4.37,1420000000.0,0.67,0.25,0.68,1.02,18.23,13730000000.0,0.028757460661964274,0.96,18.21,0.0010851871947910041,0.0184,0.0592,-0.08109999999999999,0.2986,1.94,27.72,27.31,2.50,8.01,17.53,6556451
The Hershey Company Common Stoc,HSY,1056490,3.70,2.26,1620000000.0,4.78,0.92,5.20,3.34,108.72,23030000000.0,0.033973412112260126,2.66,32.46,-0.001754062038404669,-0.0028000000000000004,0.0538,-0.0796,0.23309999999999997,29.26,22.68,20.85,3.09,2.16,102.87,737166
Humana Inc. Common Stock,HUM,1662900,71.57,0.76,2060000000.0,10.94,2.77,11.99,4.07,211.93,31790000000.0,0.057860570138300815,1.46,52.31,-0.0015053156458746386,0.0046,0.07400000000000001,-0.0344,0.4193,2.97,19.46,17.76,0.58,3.90,198.24,822337
International Business Machines,IBM,3783040,19.29,3.25,18550000000.0,13.78,3.17,14.14,12.38,176.50,160890000000.0,-0.011974299065420468,4.88,13.78,-0.0032126168224297924,-0.0335,0.0202,-0.0668,0.1971,8.88,12.38,12.08,2.02,6.18,167.20,4891911
Intercontinental Exchange Inc.,ICE,2925060,26.42,1.32,2750000000.0,3.01,0.75,3.41,2.37,59.53,6940000000.0,0.07417218543046356,1.61,25.44,-0.0031456953642383656,0.0128,0.0582,-0.0273,0.2987,2.29,20.03,17.63,1.54,0.00,56.97,3242017
Internationa Flavors & Fragranc,IFF,671434,20.53,1.94,672980000.0,5.82,1.54,6.38,5.05,129.16,10540000000.0,-0.00843056078283777,2.95,26.42,0.0003010914565297895,0.032799999999999996,0.0654,-0.0713,0.1789,6.47,22.92,20.91,3.37,4.21,125.21,318630
"Illumina, Inc.",ILMN,970321,15.03,0,718780000.0,3.64,0.87,4.31,3.07,167.02,25600000000.0,-0.054046175373134386,3.82,57.01,0.004489272388059629,0.0478,0.14880000000000002,-0.0635,0.4661,11.41,48.08,40.51,10.46,5.85,152.34,1666482
Incyte Corporation,INCY,2507150,2.22,0,190850000.0,0.26,0.57,0.92,0.54,138.20,25770000000.0,0.07780537697253065,13.65,251.98,0.0016803039158388433,-0.0154,0.2054,-0.1115,1.0001,61.63,523.35,147.90,23.45,2.12,112.88,1295951
Intel Corporation,INTC,24338000,14.00,3.03,22870000000.0,2.79,0.64,2.92,2.12,35.76,168980000000.0,0.11815642458100561,1.58,16.86,-0.0022346368715083775,-0.0005,-0.0084,-0.0705,0.2115,2.56,12.81,12.24,2.85,3.73,36.04,22711830
Intuit Inc.,INTU,1653650,3.07,1.15,1410000000.0,4.35,0.15,4.96,3.72,121.69,30360000000.0,0.014668689934243861,2.13,31.87,-0.002191873208565176,-0.0248,0.026000000000000002,-0.0761,0.19640000000000002,38.69,27.28,23.93,6.25,1.52,115.67,1673345
International Paper Company Com,IP,3073690,10.56,3.66,2870000000.0,3.64,0.83,4.25,2.18,51.47,20670000000.0,0.09930624380574815,1.52,23.08,-0.0029732408325074955,-0.0235,-0.009000000000000001,-0.1461,0.281,4.78,13.81,11.83,0.98,3.20,50.72,1666713
"Interpublic Group of Companies,",IPG,3778940,5.15,2.97,1100000000.0,1.46,0.35,1.63,1.49,24.37,9610000000.0,0.11511387163561082,1.33,16.43,0.0020703933747412417,0.0046,0.0406,-0.0336,0.12990000000000002,4.69,16.77,15.02,1.21,4.36,23.53,3966123
Ingersoll-Rand plc (Ireland),IR,1855170,25.65,1.94,1920000000.0,4.47,1.44,4.98,5.65,80.57,21710000000.0,0.020300300300300167,2.05,14.82,-0.0008408408408407952,0.0383,0.1045,-0.004,0.4154,3.25,18.71,16.80,1.60,2.14,75.74,1817151
Iron Mountain Incorporated (Del,IRM,1372830,7.34,6.17,1110000000.0,1.22,0.28,1.38,0.42,35.43,9360000000.0,0.15688487584650113,8.43,83.73,0.0016930022573364845,0.002,0.028999999999999998,-0.1446,0.1545,4.83,29.10,25.72,2.66,10.90,34.50,1302119
"Intuitive Surgical, Inc.",ISRG,338244,148.91,0,1050000000.0,23.49,5.86,26.54,18.73,748.45,29660000000.0,-0.011785565289945676,2.75,40.83,-0.001225490196078316,0.0219,0.10640000000000001,-0.0143,0.25239999999999996,5.15,32.56,28.82,11.00,8.92,691.30,274960
"Gartner, Inc. Common Stock",IT,919145,0.74,0.00,400910000.0,3.26,0.86,3.79,2.31,107.39,9070000000.0,0.01712359959923493,2.13,47.49,0.0008197467893249488,0.0215,0.0978,-0.0242,0.29760000000000003,148.97,33.65,28.94,3.71,5.20,99.93,824800
Illinois Tool Works Inc. Common,ITW,1278480,12.26,1.96,3530000000.0,6.17,1.59,6.85,5.70,132.91,46030000000.0,0.009754990925589846,2.30,23.30,-0.002419842710223996,-0.0008,0.062,-0.023700000000000002,0.3508,10.78,21.53,19.39,3.37,6.05,125.06,1400056
Invesco Ltd Common Stock,IVZ,3194460,18.58,3.69,1330000000.0,2.41,0.58,2.72,2.06,31.46,12440000000.0,0.10861788617886181,1.68,14.96,-0.0055284552845529245,-0.0207,-0.0052,-0.07919999999999999,0.3387,1.65,12.78,11.29,2.62,1.97,30.97,2834825
"J.B. Hunt Transport Services, I",JBHT,991331,12.70,1.01,1080000000.0,4.06,0.97,4.73,3.81,94.62,10200000000.0,0.10308946577987554,1.86,24.04,-0.019201888006865397,-0.0318,-0.008100000000000001,-0.1052,0.21,7.34,22.56,19.45,1.58,4.82,92.36,1209949
Jacobs Engineering Group Inc. C,JEC,903531,33.59,1.10,642120000.0,3.13,0.82,3.45,1.85,55.62,6610000000.0,0.0866399708773209,2.22,29.52,-0.003094284674189929,-0.0182,-0.0273,-0.1389,0.3074,1.64,17.62,15.83,0.62,2.94,56.14,807972
Johnson & Johnson Common Stock,JNJ,6990500,26.02,2.56,24960000000.0,7.04,1.80,7.39,5.93,124.83,337050000000.0,0.03393919897056463,3.01,20.94,-0.0006433971368827729,-0.0049,0.053899999999999997,-0.0371,0.1364,4.78,17.64,16.81,4.69,2.31,117.87,4161540
"Juniper Networks, Inc. Common S",JNPR,3720630,13.02,1.44,1110000000.0,2.19,0.53,2.35,1.53,28.05,10620000000.0,0.027977044476327206,1.15,18.16,-0.001434720229555153,-0.009300000000000001,0.0329,-0.048600000000000004,0.3124,2.14,12.69,11.83,2.13,3.86,26.91,3215398
JP Morgan Chase & Co. Common St,JPM,15978500,64.07,2.32,0.00,6.58,1.65,7.57,6.19,89.54,305260000000.0,0.06217978574755478,2.22,13.85,-0.003959012575686871,-0.0425,0.04769999999999999,-0.08779999999999999,0.5027,1.34,13.03,11.32,3.39,2.36,81.83,14690492
"Nordstrom, Inc. Common Stock",JWN,3292190,5.12,3.32,1650000000.0,2.92,0.65,3.04,2.02,44.67,7770000000.0,0.029295154185021932,2.82,23.05,0.0008810572687223406,0.0425,-0.056900000000000006,-0.2587,0.33020000000000005,8.87,15.95,15.32,0.51,7.24,49.38,2324763
Kellogg Company Common Stock,K,2124950,5.44,2.86,2250000000.0,3.94,0.97,4.32,1.96,73.69,25330000000.0,0.12425626124256262,2.68,36.81,0.0004151100041511757,-0.0208,-0.023,-0.1722,0.02,13.28,18.31,16.70,1.95,2.43,73.85,2045127
KeyCorp Common Stock,KEY,11442800,12.58,1.95,0.00,1.32,0.32,1.53,0.80,18.15,18590000000.0,0.15771230502599654,1.28,21.64,-0.005777007510109677,-0.0454,0.0275,-0.11259999999999999,0.6973999999999999,1.38,13.13,11.33,3.93,2.68,16.87,7534336
The Kraft Heinz Company,KHC,3261880,47.15,2.65,8570000000.0,3.24,1.02,4.09,2.81,91.65,110550000000.0,-0.006601386291121059,1.50,32.32,0.0,-0.009000000000000001,0.032,-0.071,0.18510000000000001,1.93,24.09,22.21,4.18,2.17,88.01,1396543
Kimco Realty Corporation Common,KIM,3751850,12.37,5.02,766140000.0,0.59,0.15,0.66,0.79,22.68,9470000000.0,0.19835841313269498,6.17,28.15,0.0031919744642043835,-0.0196,-0.11710000000000001,-0.3102,0.0378,1.77,37.69,33.70,7.96,3.28,25.19,3654613
KLA-Tencor Corporation,KLAC,1135760,6.16,2.24,1250000000.0,5.75,1.54,6.11,5.50,93.52,14970000000.0,-0.0885497768088861,1.40,17.36,-0.0018685767673620735,0.0212,0.15869999999999998,-0.0204,0.4279,15.64,16.61,15.63,4.63,2.69,82.42,1406113
"Kinder Morgan, Inc. Common Stoc",KMI,11596100,15.44,2.32,6160000000.0,0.69,0.15,0.78,0.25,21.46,48240000000.0,0.15954022988505745,3.13,87.85,-0.0013793103448276334,0.0068000000000000005,0.0034999999999999996,-0.07490000000000001,0.2995,1.41,31.32,27.71,3.72,2.13,21.53,8441461
CarMax Inc,KMX,2526190,16.66,0,1230000000.0,3.54,0.94,3.55,3.16,61.94,10680000000.0,0.1579408159691822,1.20,17.56,-0.00017510068289261493,-0.0759,-0.0464,-0.1718,0.2703,3.43,16.17,14.79,0.64,10.16,60.02,2400703
Coca-Cola Company (The) Common,KO,14549500,5.38,3.47,11530000000.0,1.87,0.57,1.95,1.49,42.22,183160000000.0,0.03326305926446471,7.57,28.63,-0.00023424689622852934,0.0104,0.0222,-0.08810000000000001,0.0697,7.94,22.81,21.88,4.38,2.63,41.73,8909379
Michael Kors Holdings Limited O,KORS,2800850,11.42,0,1220000000.0,4.16,0.84,4.02,4.38,37.27,6130000000.0,0.12174845803164391,-6.59,8.63,0.0016090104585679832,0.013000000000000001,-0.1286,-0.318,0.08130000000000001,3.27,9.08,9.39,1.31,2.05,43.33,1139828
Kroger Company (The) Common Sto,KR,8559090,7.25,1.63,5870000000.0,2.19,0.47,2.31,2.05,29.98,27030000000.0,0.14044385558131833,2.20,14.42,0.001656177542232351,-0.0138,-0.07769999999999999,-0.2212,0.0452,4.16,13.50,12.80,0.24,1.71,32.06,10006282
Kohl's Corporation Common Stock,KSS,4445780,29.75,5.23,2310000000.0,3.61,1.17,3.63,3.11,39.93,6930000000.0,0.09440120512176775,1.28,12.94,0.004268139593271547,0.0075,-0.10220000000000001,-0.3258,0.18780000000000002,1.34,11.14,11.08,0.37,5.05,44.81,3107232
Kansas City Southern Common Sto,KSU,1523510,38.31,1.51,1120000000.0,5.06,1.24,5.63,4.43,86.74,9430000000.0,0.0712759977515458,1.55,19.95,-0.001798763350196686,0.0192,0.0144,-0.12210000000000001,0.1183,2.32,17.47,15.70,4.06,2.01,87.14,1437474
Loews Corporation Common Stock,L,808419,53.96,0.53,2940000000.0,3.09,0.78,3.20,1.93,47.03,15890000000.0,-0.09397387273493474,2.73,24.46,-0.0040033712600083815,0.0039000000000000003,0.0451,-0.0175,0.2368,0.88,15.28,14.75,1.22,1.89,45.17,471766
"Leggett & Platt, Incorporated C",LEG,999905,8.18,2.70,589200000.0,2.63,0.70,2.83,2.76,49.86,6990000000.0,0.002349256068911565,7.44,18.70,0.0005873140172278912,0.0336,0.0672,-0.0567,0.17059999999999997,6.25,19.59,18.21,1.85,10.43,48.29,816942
Lennar Corporation Class A Comm,LEN,2532410,29.97,0.32,1350000000.0,3.82,1.28,4.65,3.86,50.69,12170000000.0,0.07575757575757591,1.45,13.45,-0.0013597513597514155,0.024300000000000002,0.1471,-0.0348,0.3085,1.72,12.16,11.17,1.07,3.81,45.26,2582442
Laboratory Corporation of Ameri,LH,804427,53.61,0.00,1830000000.0,9.60,2.53,10.38,7.02,142.79,14660000000.0,0.09025019165098613,1.67,20.42,-0.002578576904313956,0.0039000000000000003,0.0687,-0.0158,0.225,2.68,14.93,13.81,1.56,3.75,134.13,510575
LKQ Corporation,LKQ,2549680,11.19,0,1000000000.0,1.86,0.54,2.09,1.50,30.23,8810000000.0,0.3260332038149065,0.56,19.14,-0.0014129282938890597,-0.053099999999999994,-0.10189999999999999,-0.2127,0.0276,2.53,15.39,13.69,1.02,2.05,31.87,2416836
"L3 Technologies, Inc. Common St",LLL,571661,58.95,1.81,1230000000.0,8.61,2.08,9.39,9.01,167.57,13010000000.0,0.06874962374330251,2.93,18.57,-0.0006020107157909127,-0.0018,0.0688,-0.0232,0.4102,2.82,19.43,17.81,1.23,4.59,156.50,381623
Eli Lilly and Company Common St,LLY,3980550,13.33,2.44,5370000000.0,4.10,1.03,4.41,2.58,84.03,90220000000.0,0.03311103311103314,1.69,33.28,0.0,0.0217,0.1041,-0.01,0.33759999999999996,6.41,20.89,19.47,4.23,2.41,77.75,2393646
Lockheed Martin Corporation Com,LMT,1116870,5.23,2.69,6110000000.0,12.63,3.09,14.10,17.49,268.38,78110000000.0,0.050737835929078656,2.49,15.45,-0.00011151172731660441,0.006999999999999999,0.0554,-0.015700000000000002,0.2032,51.46,21.40,19.17,1.65,2.30,256.08,744445
Lincoln National Corporation Co,LNC,1854060,63.97,1.77,1800000000.0,6.98,1.73,7.50,5.03,67.59,14720000000.0,0.15480018373909044,1.09,12.99,-0.006890215893431417,-0.0331,0.042,-0.10859999999999999,0.8528,1.02,9.36,8.71,1.10,2.90,62.72,1690239
Alliant Energy Corporation Comm,LNT,1179290,16.96,3.17,1030000000.0,2.00,0.36,2.14,1.64,39.37,9040000000.0,-0.012843112566104153,3.14,24.27,-0.0005036514731806552,0.0084,0.0501,-0.0315,0.16510000000000002,2.34,19.85,18.55,2.72,3.65,37.80,850879
"Lowe's Companies, Inc. Common S",LOW,5390850,7.43,1.70,7530000000.0,4.63,1.63,5.28,3.47,80.96,70650000000.0,0.04719728221305508,1.19,23.75,-0.0016986168405727087,0.018000000000000002,0.115,-0.0189,0.2704,11.09,17.80,15.61,1.09,1.70,73.91,3111658
Lam Research Corporation,LRCX,1696650,39.39,1.39,1620000000.0,9.27,2.65,8.79,5.58,123.60,20720000000.0,0.04114906832298115,0.90,22.81,-0.0034161490683229934,0.0294,0.1582,-0.0223,0.7670999999999999,3.27,13.72,14.47,3.29,7.03,109.86,1566918
Leucadia National Corporation C,LUK,1807920,28.18,0.95,1250000000.0,1.69,0.40,1.57,0.34,26.27,9420000000.0,0.18140243902439024,0.87,77.69,-0.006859756097560954,-0.0034999999999999996,0.1421,-0.0424,0.6912,0.93,15.49,16.68,0.87,1.87,22.92,1429851
Southwest Airlines Company Comm,LUV,5737660,13.72,0.74,5270000000.0,3.80,1.17,4.62,3.55,55.11,33880000000.000004,0.1582441903356695,1.35,15.52,-0.00018443378826993317,-0.0009,0.1213,-0.0774,0.5545,3.95,14.49,11.92,1.63,1.95,49.10,5431126
"Level 3 Communications, Inc. Co",LVLT,2153030,30.32,0,2670000000.0,1.53,0.39,1.81,1.87,57.12,21320000000.0,0.06779661016949157,-1.03,31.60,-0.0008474576271185752,0.0347,0.0722,-0.017,0.3429,1.95,38.63,32.65,2.60,2.37,55.12,1254771
LyondellBasell Industries NV Or,LYB,2752050,14.97,3.73,6070000000.0,10.05,2.77,9.19,9.13,90.45,35430000000.0,0.10911555404947482,-3.20,9.64,-0.0007906924206484423,-0.0268,0.0079,-0.09849999999999999,0.2607,5.91,8.76,9.58,1.22,3.30,87.33,2212738
Macy's Inc Common Stock,M,8326460,14.22,5.19,2900000000.0,3.46,0.53,2.89,1.99,30.50,9040000000.0,0.17716802168021673,0.46,14.93,0.0013550135501354532,-0.0259,-0.1449,-0.3457,0.0718,2.08,8.59,10.28,0.35,2.36,34.75,3316073
Mastercard Incorporated Common,MA,3062470,5.23,0.78,6250000000.0,4.26,1.06,4.96,3.69,111.61,120850000000.0,0.0896545584045585,1.77,30.38,-0.003739316239316115,0.0045000000000000005,0.0513,-0.012199999999999999,0.2938,21.47,26.32,22.60,11.24,1.93,106.64,2045754
Mid-America Apartment Communiti,MAA,729411,56.41,3.41,636260000.0,2.29,0.58,2.71,2.69,101.25,11680000000.0,0.04918032786885229,6.41,38.25,0.0021596151958378496,0.0158,0.0738,-0.06509999999999999,0.2094,1.81,44.91,37.95,10.28,1.69,95.78,872044
Macerich Company (The) Common S,MAC,1205710,28.52,4.43,644910000.0,0.63,0.11,0.75,3.52,64.93,9390000000.0,0.09890449004783197,-924.55,18.55,0.0007714858818084203,0.0055000000000000005,-0.0633,-0.3093,0.050499999999999996,2.27,103.62,87.04,8.60,5.06,69.69,595062
Marriott International,MAR,2435570,13.88,1.32,2000000000.0,3.93,1.02,4.58,2.64,89.64,35060000000.0,0.05479903360421701,1.61,34.62,0.0010981770261364598,0.0197,0.1277,-0.0421,0.5015999999999999,6.56,23.20,19.96,9.91,3.96,81.05,2732256
"Mattel, Inc.",MAT,5368590,7.03,6.10,823470000.0,1.45,0.02,1.71,0.92,25.39,8810000000.0,0.2051988972036236,1.12,27.97,0.0,0.013300000000000001,-0.098,-0.25980000000000003,0.045899999999999996,3.61,17.74,15.05,1.59,4.92,28.53,2671672
Microchip Technology Incorporat,MCHP,3502230,11.86,1.95,925100000.0,3.89,1.11,4.51,0.41,73.44,15730000000.0,0.15951505244517117,0.85,176.79,-0.005040185260863472,-0.0106,0.0874,-0.050199999999999995,0.5466,6.19,18.68,16.11,5.19,6.92,66.82,3510998
McKesson Corporation Common Sto,MCK,1905730,36.27,0.78,4620000000.0,12.62,2.89,11.93,8.43,148.14,30830000000.0,0.07856210048800594,1.46,17.25,0.0006873324627121313,-0.018600000000000002,-0.0148,-0.271,0.26940000000000003,4.01,11.52,12.19,0.16,2.21,147.56,1169830
"Mondelez International, Inc.",MDLZ,8170420,16.46,1.72,4240000000.0,2.10,0.49,2.33,1.05,44.00,67260000000.00001,0.10833333333333339,1.98,41.96,-0.0024774774774775077,0.0014000000000000002,0.0086,-0.0504,0.08789999999999999,2.70,20.98,18.91,2.61,1.52,43.69,5484046
Medtronic plc. Ordinary Shares,MDT,4726480,36.08,2.14,9090000000.0,4.58,1.13,4.96,2.83,81.28,109720000000.0,0.09900373599003731,2.33,28.29,-0.0023661270236612353,-0.0139,0.0179,-0.10220000000000001,0.1557,2.23,17.50,16.16,3.74,2.29,78.74,2642725
"MetLife, Inc. Common Stock",MET,5999580,61.44,3.03,1570000000.0,5.33,1.29,5.81,0.63,53.03,57370000000.0,0.12710740670581555,0.89,83.76,-0.006819473385110797,-0.0048,0.013000000000000001,-0.0916,0.45890000000000003,0.86,9.90,9.08,0.91,2.13,52.09,4536582
"McCormick & Company, Incorporat",MKC,808553,13.79,1.89,763100000.0,4.07,1.09,4.46,3.70,99.69,12430000000.0,-0.006915906585145848,2.88,26.92,-0.003307607497243681,-0.0002,0.0449,-0.0758,0.1244,7.24,24.49,22.35,2.81,7.25,95.38,882677
"Martin Marietta Materials, Inc.",MLM,750448,65.53,0.77,954670000.0,7.14,2.44,10.56,6.63,214.07,13850000000.0,0.06363760156143616,1.32,33.12,-0.002133357541645897,0.0258,0.0352,-0.1,0.3558,3.36,26.75,20.79,3.88,2.35,212.13,533834
"Marsh & McLennan Companies, Inc",MMC,1806790,12.03,1.85,3100000000.0,3.74,1.01,4.19,3.38,73.93,37800000000.0,0.0442899972744617,1.93,21.71,-0.004360861270100713,-0.0073,0.0587,-0.0282,0.2224,6.10,19.62,17.52,2.86,3.32,69.32,1525562
3M Company Common Stock,MMM,1926370,17.26,2.46,8700000000.0,8.62,2.23,9.38,8.16,189.92,113320000000.0,0.00042169627325905346,2.47,23.29,-0.0030572979811291923,0.0008,0.0646,-0.0177,0.1649,10.99,22.05,20.26,3.76,4.03,178.53,1459582
Mallinckrodt plc Ordinary Share,MNK,2251480,47.62,0,1480000000.0,7.57,1.95,8.50,2.58,47.86,4570000000.0,0.6599732262382867,0.95,16.93,-0.0026773761713519972,-0.0886,-0.1961,-0.4918,0.0493,0.94,5.76,5.13,1.38,8.68,54.26,1799113
Monster Beverage Corporation,MNST,2581480,5.88,0,1210000000.0,1.48,0.40,1.70,1.19,45.92,25700000000.0,0.20296813618507192,1.58,38.12,-0.0006547359231776628,-0.012199999999999999,-0.32020000000000004,-0.1827,0.1255,7.80,30.65,26.68,8.51,2.31,66.73,1589591
"Altria Group, Inc.",MO,6600830,6.58,3.40,9500000000.0,3.30,0.87,3.57,7.28,74.14,139840000000.0,0.01602564102564097,2.76,9.90,0.0002787068004459492,-0.0277,0.0547,-0.0584,0.2118,10.90,21.84,20.19,7.20,1.89,68.34,4472754
Monsanto Company Common Stock,MON,2084030,12.63,1.86,4260000000.0,4.85,-0.22,5.44,3.65,113.95,50900000000.0,0.059259898214439666,2.99,26.69,-0.0001725178987320719,0.018000000000000002,0.08560000000000001,-0.0048,0.35009999999999997,9.18,23.92,21.32,3.51,2.08,106.86,1684001
Mosaic Company (The) Common Sto,MOS,4566700,27.37,2.08,1200000000.0,1.07,0.29,1.27,0.85,29.67,10050000000.0,0.01278507256392536,1.30,33.75,-0.00034554250172780243,-0.033,0.0005,-0.165,0.26,1.06,26.81,22.59,1.42,3.43,28.68,3736005
Marathon Petroleum Corporation,MPC,4709160,25.68,2.88,4660000000.0,2.90,1.15,3.71,2.21,50.16,26620000000.0,0.23135221380135618,-21.84,22.82,0.0009972078181093025,0.0053,0.0637,-0.0762,0.575,1.95,17.39,13.59,0.47,2.62,47.41,4537252
"Merck & Company, Inc. Common St",MRK,10281500,14.58,2.98,12000000000.0,3.81,0.88,4.18,1.41,64.54,171820000000.0,0.10311750599520386,2.50,44.38,-0.0009592326139088447,-0.0304,0.0015,-0.0632,0.1794,4.29,16.43,14.97,4.31,1.87,62.49,6544754
Morgan Stanley Common Stock,MS,11547800,36.99,1.91,0.00,3.35,0.84,3.92,2.92,44.55,77600000000.0,0.1290861369601528,0.91,14.23,-0.008351228823669676,-0.0667,0.0217,-0.1215,0.7992,1.13,12.41,10.61,2.26,2.03,40.70,10310862
Microsoft Corporation,MSFT,22577200,8.90,2.38,27740000000.0,2.97,0.68,3.27,2.12,64.91,506000000000.0,0.059362124217915424,2.38,30.81,-0.0012208148939416574,0.0087,0.0542,-0.0131,0.3632,7.36,22.05,20.02,5.91,1.94,62.12,18791533
M&T Bank Corporation Common Sto,MTB,876211,97.66,1.86,0.00,8.72,2.18,9.82,7.78,161.35,23350000000.0,0.04097657538766075,2.44,19.48,-0.005146816232266538,-0.061200000000000004,0.0288,-0.128,0.4021,1.55,17.35,15.43,4.58,4.48,147.24,616014
"Mettler-Toledo International, I",MTD,173961,16.72,0,588240000.0,16.70,3.60,18.63,14.22,479.46,12450000000.0,-0.06696595585484466,2.38,33.76,0.0019329093403168685,0.0012,0.0964,-0.0202,0.397,28.78,28.74,25.77,4.98,9.80,437.82,88906
"Micron Technology, Inc.",MU,26782100,12.92,0.00,4730000000.0,4.28,1.54,5.12,0.64,26.27,30070000000.0,0.3958031837916063,6.66,42.34,-0.00506512301013029,0.0348,0.2523,-0.0901,1.9069999999999998,2.14,6.35,5.31,2.08,1.83,21.70,38606854
Mylan N.V.,MYL,5939680,20.76,0.00,3530000000.0,5.32,1.26,5.78,0.92,41.73,20590000000.0,0.3174522292993631,0.75,41.79,-0.0022929936305733367,-0.0786,-0.0084,-0.2371,0.14429999999999998,1.89,7.23,6.65,1.90,3.67,38.78,7015986
Navient Corporation,NAVI,2487350,12.72,4.34,0.00,1.83,0.46,1.90,2.12,14.72,4330000000.0,0.22282980177717016,2.81,7.02,-0.007518796992481258,0.0118,-0.0302,-0.1705,0.35240000000000005,1.15,8.14,7.84,2.03,4.64,15.35,1593783
"Nasdaq, Inc.",NDAQ,875747,32.60,1.84,1160000000.0,4.23,1.01,4.60,0.64,70.33,11510000000.0,0.09126297577854658,1.58,107.81,-0.004181084198385365,-0.0189,0.0152,-0.048499999999999995,0.1276,2.13,16.31,15.00,3.12,3.49,67.96,702320
"NextEra Energy, Inc. Common Sto",NEE,1795000,52.01,3.05,7670000000.0,6.62,1.73,7.11,6.25,130.17,60470000000.0,0.062118519663138416,2.84,20.69,-0.002317855211311226,-0.0066,0.0509,-0.0297,0.1704,2.49,19.53,18.19,3.75,6.23,123.05,1053550
"Netflix, Inc.",NFLX,5787160,6.23,0,437320000.0,1.11,0.24,1.97,0.43,143.43,62130000000.0,0.052346193952033326,1.66,335.70,0.0029892248870351246,0.0064,0.1197,-0.026600000000000002,0.7082999999999999,23.09,130.05,73.27,7.01,5.24,128.91,4621451
NiSource Inc Common Stock,NI,2994530,12.60,2.96,1360000000.0,1.16,0.11,1.23,1.02,23.62,7710000000.0,0.03706823925863523,2.57,23.36,-0.0012636899747261454,0.0098,0.0509,-0.11470000000000001,0.1266,1.88,20.56,19.39,1.71,1.41,22.69,2682704
"Nike, Inc. Common Stock",NKE,9301500,7.70,1.31,5300000000.0,2.40,0.68,2.57,2.40,56.58,90660000000.0,0.13588342440801449,1.95,22.91,0.0009107468123863427,-0.029300000000000003,0.0292,-0.09269999999999999,0.1206,7.13,22.88,21.37,2.67,4.06,53.36,4348643
Nielsen N.V. Ordinary Shares,NLSN,2749380,11.48,2.98,1620000000.0,2.68,0.67,2.95,1.39,43.05,14790000000.0,0.15863066538090664,2.13,29.76,-0.002169720347155124,-0.0391,-0.07200000000000001,-0.2605,0.0271,3.61,15.44,14.02,2.35,3.62,44.58,2162793
